Date, Vessels (out of credits),Pollock, Pollock (std),Bycatch, Bycatch (std), Bycatch Rate
Jan-21-2006,0,1289.76,1289.76,54,21,0.0418683
Jan-22-2006,0,3012.94,4302.7,224,120,0.0743459
Jan-23-2006,0,3989.02,8291.73,417,310,0.104537
Jan-24-2006,0,4859.91,13151.6,569,563,0.11708
Jan-25-2006,0,4097.97,17249.6,608,845,0.148366
Jan-26-2006,0,3134.56,20384.2,333,995,0.106235
Jan-27-2006,0,5876.36,26260.5,623,1274,0.106018
Jan-28-2006,0,3703.73,29964.3,524,1521,0.141479
Jan-29-2006,0,4839.27,34803.5,419,1711,0.0865833
Jan-30-2006,0,4986.83,39790.4,390,1880,0.0782061
Jan-31-2006,0,6075.73,45866.1,298,2011,0.0490476
Feb-1-2006,0,3968.44,49834.5,266,2130,0.0670289
Feb-2-2006,0,5230.92,55065.5,230,2234,0.0439693
Feb-3-2006,0,5290.48,60355.9,54,2254,0.010207
Feb-4-2006,0,5055.1,65411,131,2306,0.0259144
Feb-5-2006,0,4879.81,70290.9,447,2489,0.0916019
Feb-6-2006,0,4690.37,74981.2,965,2934,0.20574
Feb-7-2006,0,4977.57,79958.8,3817,4734,0.76684
Feb-8-2006,0,4998.03,84956.8,1751,5535,0.350338
Feb-9-2006,0,6236.27,91193.1,3708,7265,0.594586
Feb-10-2006,0,4732.39,95925.5,1319,7886,0.278718
Feb-11-2006,0,4007.11,99932.6,353,8043,0.0880934
Feb-12-2006,0,5224.18,105157,344,8194,0.0658476
Feb-13-2006,0,4776.64,109933,660,8484,0.138172
Feb-14-2006,0,2527.74,112461,908,8891,0.359214
Feb-15-2006,0,1817.18,114278,426,9081,0.234429
Feb-16-2006,0,4213.45,118492,316,9219,0.0749979
Feb-17-2006,0,4489.86,122982,341,9371,0.0759489
Feb-18-2006,0,6239.37,129221,559,9615,0.0895924
Feb-19-2006,0,4405.24,133626,576,9868,0.130753
Feb-20-2006,0,4495.27,138122,931,10298,0.207107
Feb-21-2006,0,4514.68,142636,754,10636,0.167011
Feb-22-2006,0,5229.93,147866,1407,11273,0.269028
Feb-23-2006,0,4002.87,151869,1351,11908,0.337507
Feb-24-2006,0,5279.4,157148,1820,12753,0.344736
Feb-25-2006,0,4649.55,161798,1022,13229,0.219806
Feb-26-2006,0,4139.63,165938,649,13514,0.156777
Feb-27-2006,0,5010.77,170948,209,13604,0.0417101
Feb-28-2006,0,3128.35,174077,181,13684,0.057858
Mar-1-2006,0,4659.83,178737,220,13776,0.047212
Mar-2-2006,0,3849.73,182586,104,13818,0.0270149
Mar-3-2006,0,4185.09,186771,145,13877,0.0346468
Mar-4-2006,0,3674.25,190446,154,13942,0.0419134
Mar-5-2006,0,4263.51,194709,166,14010,0.0389351
Mar-6-2006,0,3512.22,198221,180,14089,0.0512496
Mar-7-2006,0,2983,201204,170,14159,0.0569896
Mar-8-2006,0,3704.58,204909,197,14244,0.0531774
Mar-9-2006,0,3728.44,208637,149,14309,0.0399631
Mar-10-2006,0,4100.98,212738,134,14362,0.0326751
Mar-11-2006,0,1858.72,214597,100,14405,0.0538004
Mar-12-2006,0,3385.46,217983,76,14434,0.0224489
Mar-13-2006,0,2634.53,220617,123,14486,0.0466877
Mar-14-2006,0,3188.81,223806,173,14561,0.0542523
Mar-15-2006,0,3466.31,227272,135,14618,0.0389463
Mar-16-2006,0,3084.42,230357,654,14923,0.212033
Mar-17-2006,0,3555.26,233912,837,15308,0.235426
Mar-18-2006,0,3245.88,237158,245,15419,0.0754804
Mar-19-2006,0,2765.58,239923,66,15445,0.0238648
Mar-20-2006,0,1551.36,241475,19,15452,0.0122473
Mar-21-2006,0,2474.52,243949,28,15464,0.0113153
Mar-22-2006,0,2358.62,246308,84,15500,0.0356141
Mar-23-2006,0,1251.44,247559,78,15536,0.062328
Mar-24-2006,0,2100.57,249660,153,15608,0.0728374
Mar-25-2006,0,1867.91,251528,51,15631,0.0273032
Mar-26-2006,0,886.491,252414,94,15674,0.106036
Mar-27-2006,0,703.18,253117,114,15729,0.162121
Mar-28-2006,0,0,253117,0,15729,nan
Mar-29-2006,0,0,253117,0,15729,nan
Mar-30-2006,0,0,253117,0,15729,nan
Mar-31-2006,0,0,253117,0,15729,nan
Apr-1-2006,0,0,253117,0,15729,nan
Apr-2-2006,0,0,253117,0,15729,nan
Apr-3-2006,0,0,253117,0,15729,nan
Apr-4-2006,0,0,253117,0,15729,nan
Apr-5-2006,0,0,253117,0,15729,nan
Apr-6-2006,0,0,253117,0,15729,nan
Apr-7-2006,0,0,253117,0,15729,nan
Apr-8-2006,0,0,253117,0,15729,nan
Apr-9-2006,0,0,253117,0,15729,nan
Apr-10-2006,0,0,253117,0,15729,nan
Apr-11-2006,0,0,253117,0,15729,nan
Apr-12-2006,0,0,253117,0,15729,nan
Apr-13-2006,0,0,253117,0,15729,nan
Apr-14-2006,0,0,253117,0,15729,nan
Apr-15-2006,0,0,253117,0,15729,nan
Apr-16-2006,0,0,253117,0,15729,nan
Apr-17-2006,0,0,253117,0,15729,nan
Apr-18-2006,0,0,253117,0,15729,nan
Apr-19-2006,0,0,253117,0,15729,nan
Apr-20-2006,0,0,253117,0,15729,nan
Apr-21-2006,0,0,253117,0,15729,nan
Apr-22-2006,0,0,253117,0,15729,nan
Apr-23-2006,0,0,253117,0,15729,nan
Apr-24-2006,0,0,253117,0,15729,nan
Apr-25-2006,0,0,253117,0,15729,nan
Apr-26-2006,0,0,253117,0,15729,nan
Apr-27-2006,0,0,253117,0,15729,nan
Apr-28-2006,0,0,253117,0,15729,nan
Apr-29-2006,0,0,253117,0,15729,nan
Apr-30-2006,0,0,253117,0,15729,nan
May-1-2006,0,0,253117,0,15729,nan
May-2-2006,0,0,253117,0,15729,nan
May-3-2006,0,0,253117,0,15729,nan
May-4-2006,0,0,253117,0,15729,nan
May-5-2006,0,0,253117,0,15729,nan
May-6-2006,0,0,253117,0,15729,nan
May-7-2006,0,0,253117,0,15729,nan
May-8-2006,0,0,253117,0,15729,nan
May-9-2006,0,0,253117,0,15729,nan
May-10-2006,0,0,253117,0,15729,nan
May-11-2006,0,0,253117,0,15729,nan
May-12-2006,0,0,253117,0,15729,nan
May-13-2006,0,0,253117,0,15729,nan
May-14-2006,0,0,253117,0,15729,nan
May-15-2006,0,0,253117,0,15729,nan
May-16-2006,0,0,253117,0,15729,nan
May-17-2006,0,0,253117,0,15729,nan
May-18-2006,0,0,253117,0,15729,nan
May-19-2006,0,0,253117,0,15729,nan
May-20-2006,0,0,253117,0,15729,nan
May-21-2006,0,0,253117,0,15729,nan
May-22-2006,0,0,253117,0,15729,nan
May-23-2006,0,0,253117,0,15729,nan
May-24-2006,0,0,253117,0,15729,nan
May-25-2006,0,0,253117,0,15729,nan
May-26-2006,0,0,253117,0,15729,nan
May-27-2006,0,0,253117,0,15729,nan
May-28-2006,0,0,253117,0,15729,nan
May-29-2006,0,0,253117,0,15729,nan
May-30-2006,0,0,253117,0,15729,nan
May-31-2006,0,0,253117,0,15729,nan
Jun-1-2006,0,0,253117,0,15729,nan
Jun-2-2006,0,0,253117,0,15729,nan
Jun-3-2006,0,0,253117,0,15729,nan
Jun-4-2006,0,0,253117,0,15729,nan
Jun-5-2006,0,0,253117,0,15729,nan
Jun-6-2006,0,0,253117,0,15729,nan
